Product Name,Price,Original Price,Discount,Rating,Reviews,Features,Page Number
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1
"Ai+ Pulse 2 (Blue, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"IQOO Z11x 5G (Prismatic Green, 128 GB)","₹21,645","₹28,999",25% off,4.4,384 Ratings & 31 Reviews,6 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
"Ai+ Pulse 2 (Green, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"IQOO Z11x 5G (Titan Black, 128 GB)","₹21,972","₹28,999",24% off,4.4,384 Ratings & 31 Reviews,6 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
Kechaoda A27,₹899,"₹1,499",40% off,4,"16,828 Ratings & 888 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) QVGA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,1
HOTLINE TIGER,₹599,₹999,40% off,3.5,54 Ratings & 1 Reviews,32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 1.3MP Rear Camera | 2500 mAh Battery | NA,1
"Nokia 105 Classic Single Sim Keypad Phone, Without Charger","₹1,042","₹1,349",22% off,4,"14,423 Ratings & 591 Reviews",32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 0MP Front Camera | 800 mAh Battery | SC6531E Processor | 1 Month Company Domestic Warranty by Company Authorized Service Center.,1
"Ai+ Pulse 1 (Blue, 64 GB)","₹7,999",,,4.2,"42,010 Ratings & 2,778 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"Ai+ Pulse 2 (Purple, 64 GB)","₹8,999","₹10,999",18% off,4.3,"1,512 Ratings & 98 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹9,999",,,4.2,"15,153 Ratings & 894 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 7000 mAh Battery | Helio G81 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,1
Jmax MINI,₹777,"₹1,499",48% off,3.7,262 Ratings & 8 Reviews,32 MB RAM | 32 MB ROM | 2.54 cm (1 inch) Display | 1MP Rear Camera | 800 mAh Battery | 1 Year Manufacturer Warranty,1
"REDMI A5 (Pondicherry Blue, 64 GB)","₹8,999",,,4.1,"8,118 Ratings & 390 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.48 cm (6.88 inch) HD+ Display | 32MP Rear Camera | 8MP Front Camera | 5200 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,1
"IQOO Z10 5G (Glacier Silver / Silver, 128 GB)","₹24,575","₹25,999",5% off,4.4,"6,592 Ratings & 333 Reviews",8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7300 mAh Battery | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,1
"IQOO Z11x 5G (Prismatic Green, 128 GB)","₹22,897","₹30,999",26% off,4.3,573 Ratings & 51 Reviews,8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
"REDMI A5 (Jaisalmer Gold, 64 GB)","₹8,999",,,4.1,"8,118 Ratings & 390 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.48 cm (6.88 inch) HD+ Display | 32MP Rear Camera | 8MP Front Camera | 5200 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,1
Jmax MINI,₹777,"₹1,499",48% off,3.7,262 Ratings & 8 Reviews,32 MB RAM | 32 MB ROM | 2.54 cm (1 inch) Display | 1MP Rear Camera | 800 mAh Battery | 1 Year Manufacturer Warranty,1
"IQOO Z11x 5G (Titan Black, 256 GB)","₹26,688","₹33,999",21% off,4.3,573 Ratings & 51 Reviews,8 GB RAM | 256 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,1
"realme P4 Lite (Beach Gold, 128 GB)","₹12,999","₹13,999",7% off,4.2,"1,759 Ratings & 79 Reviews",4 GB RAM | 128 GB ROM | 17.14 cm (6.75 inch) HD+ Display | 13MP Rear Camera | 5MP Front Camera | 6300 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹12,499",,,4.2,"1,33,905 Ratings & 8,228 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 8MP | 16MP Front Camera | 5000 mAh Battery | T760 Processor | 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology | 1 Year on Handset and 6 Months on Accessories,1
Kechaoda K115,₹999,"₹1,499",33% off,4.1,"44,068 Ratings & 2,724 Reviews",32 MB RAM | 32 MB ROM | 3.66 cm (1.44 inch) QVGA Display | 0.3MP Rear Camera | 850 mAh Battery | 3 Months Company Warranty,1
Kechaoda K115,₹997,"₹1,499",33% off,4.1,"44,068 Ratings & 2,724 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 3.66 cm (1.44 inch) QVGA Display | 0.3MP + 0MP | 0MP Front Camera | 850 mAh Battery | NA Processor | 3 Months Company Warranty,1
"Ai+ Pulse 2 (Pink, 128 GB)","₹9,999","₹11,999",16% off,3.9,"1,566 Ratings & 117 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 6000 mAh Battery | T7250 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹13,499","₹19,999",32% off,4.2,"1,715 Ratings & 111 Reviews",4 GB RAM | 64 GB ROM | 17.27 cm (6.8 inches) HD+ Display | 13MP Rear Camera | 5MP Front Camera | 7000 mAh lithium-ion polymer Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹13,499","₹19,999",32% off,4.2,"1,715 Ratings & 111 Reviews",4 GB RAM | 64 GB ROM | 17.27 cm (6.8 inches) HD+ Display | 13MP Rear Camera | 5MP Front Camera | 7000 mAh lithium-ion polymer Battery | Dimensity 6300 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2
Kechaoda A26,₹899,"₹1,499",40% off,4,"30,888 Ratings & 1,653 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 1.68 cm (0.66 inch) QVGA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,2
"realme P4 Power 5G (TransSilver, 128 GB)","₹27,999","₹32,999",15% off,4.5,"3,759 Ratings & 340 Reviews",8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Full HD+ AMOLED Display | 50MP + 8MP | Yes | 10001 mAh Battery | Dimensity 7400 Ultra Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2
HOTLINE ROYAL,₹499,₹999,50% off,3.6,"2,029 Ratings & 85 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 1.3MP Rear Camera | 1000 mAh Battery | 3 Month warranty,2
"IQOO Z11x 5G (Titan Black, 128 GB)","₹23,712","₹30,990",23% off,4.3,573 Ratings & 51 Reviews,8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7200 mAh Battery | 12 Months Brand Warranty,2
Kechaoda K28,"₹1,269","₹1,499",15% off,4,"5,445 Ratings & 392 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 16 GB | 6.1 cm (2.4 inch) QVGA Display | 0.3MP Rear Camera | 1700 mAh Battery | 3 Months Company Warranty,2
"REDMI A5 (Just Black, 64 GB)","₹8,999",,,4.1,"8,118 Ratings & 390 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.48 cm (6.88 inch) HD+ Display | 32MP Rear Camera | 8MP Front Camera | 5200 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,2
GFive A5-C,₹549,₹999,45% off,3.6,88 Ratings & 4 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) NA Display | 1MP Rear Camera | 1000 mAh Battery | NA Processor | 1 Year Service Warranty,2
"realme P4x 5G (Matte Silver, 256 GB)","₹20,999",,,4.3,"4,383 Ratings & 325 Reviews",8 GB RAM | 256 GB ROM | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 2MP | 8MP Front Camera | 7000 mAh Battery | Dimensity 7400 Ultra Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,2
HOTLINE H310,₹499,₹999,50% off,3.5,"7,816 Ratings & 497 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 1000 mAh Battery | 3 Months Manufacturer Warranty,2
itel it5262,"₹1,427","₹1,599",10% off,4,"2,889 Ratings & 151 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB | 6.1 cm (2.4 inch) Display | 0.8MP Rear Camera | 2000 mAh Battery | 1 year manufacturer warranty,2
"MOTOROLA g06 power (Pantone Tendril, 64 GB)","₹9,999",,,4.2,"15,153 Ratings & 894 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 8MP Front Camera | 7000 mAh Battery | Helio G81 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,2
"REDMI Note 15 SE 5G (Crimson Reserve, 128 GB)","₹19,999","₹24,999",20% off,4.2,838 Ratings & 95 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.2 cm (6.77 inch) Full HD+ AMOLED Display | 50MP Rear Camera | 20MP Front Camera | 5800 mAh Lithium-Ion Polymer Battery | Snapdragon 6 Gen 3 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,2
HOTLINE TIGER,₹599,₹999,40% off,3.5,54 Ratings & 1 Reviews,32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 1.3MP Rear Camera | 2500 mAh Battery | NA,2
"Nokia 106 Single Sim Keypad Phone with Built-in UPI App, MP3 Player","₹1,314","₹1,699",22% off,3.9,"8,684 Ratings & 463 Reviews",32 MB RAM | 32 MB ROM | 17.02 cm (6.7 inch) Display | 1000 mAh Battery | SC6531E Processor | 1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,2
"Ai+ Pulse 1 (Green, 128 GB)","₹9,999",,,4,"8,675 Ratings & 531 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,2
"realme P4 5G (Steel Grey, 128 GB)","₹20,999",,,4.4,"20,693 Ratings & 1,377 Reviews",6 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP + 8MP | 16MP Front Camera | 7000 mAh Battery | Mediatek Dimensity 7400 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2
Kechaoda A27,₹899,"₹2,049",56% off,4,"16,828 Ratings & 888 Reviews",32 MB RAM | 32 MB ROM | 4.27 cm (1.68 inch) Display | 0MP Front Camera | 800 mAh Battery | 3 Months Company Warranty,2
HOTLINE H310,₹499,₹999,50% off,3.5,"7,816 Ratings & 497 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 1000 mAh Battery | 6 Months Warranty,2
HOTLINE H310,₹499,₹999,50% off,3.5,"7,816 Ratings & 497 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 100 mAh Battery | The Hotline Mobiles has 3 Months Manufacture’s Warranty & after Warranty period we would like to help our customers with the best possible service under low expenses,2
HOTLINE CLASSIC H17,₹500,₹999,49% off,3.8,368 Ratings & 15 Reviews,32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 1000 mAh Battery | 3 Months Domestic Warranty,2
Micromax X778,"₹1,362","₹1,999",31% off,3.9,"5,429 Ratings & 420 Reviews",32 MB RAM | 32 MB ROM | 6.1 cm (2.4 inch) Display | 0.3MP Rear Camera | 2700 mAh Battery | One Year manufacturer Warranty,2
"KARBONN K9 Jumbo,Dual Keypad Mobile,2.4 Big LCD,2MP Camera,1800mAh Battery,FM,Vibratore","₹1,498","₹1,890",20% off,4.2,"1,040 Ratings & 44 Reviews",52 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 6.1 cm (2.4 inch) QVGA Display | 2MP + 0MP | 2MP Front Camera | 1800 mAh Battery | 1 Year Manufacturer Warranty,2
"realme Narzo 90x 5G (Maroon Red, 128 GB)","₹17,720","₹17,999",1% off,4.4,655 Ratings & 32 Reviews,8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Display | 50MP Rear Camera | 7000 mAh Battery | 12 Months Brand Warranty,3
"POCO C71 (Cool Blue, 128 GB)","₹9,999",,,4.1,"36,275 Ratings & 1,726 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.48 cm (6.88 inch) HD+ Display | 32MP Rear Camera | 8MP Front Camera | 5200 mAh Battery | Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",3
"realme P4 Power 5G (TransSilver, 128 GB)","₹27,999","₹32,999",15% off,4.5,"3,759 Ratings & 340 Reviews",8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Full HD+ AMOLED Display | 50MP + 8MP | Yes | 10001 mAh Battery | Dimensity 7400 Ultra Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,3
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,3
Kechaoda K115,₹999,"₹1,499",33% off,4.1,"44,068 Ratings & 2,724 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 3.66 cm (1.44 inch) QVGA Display | 0.3MP + 0MP | 0MP Front Camera | 850 mAh Battery | NA Processor | 3 Months Company Warranty,3
"POCO M8 (Carbon Black, 128 GB)","₹17,999","₹21,999",18% off,4.3,"1,049 Ratings & 99 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.2 cm (6.77 inch) Full HD+ Display | 50MP Rear Camera | 20MP Front Camera | 5520 mAh Battery | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹12,499",,,4.2,"1,33,905 Ratings & 8,228 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 8MP | 16MP Front Camera | 5000 mAh Battery | T760 Processor | 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology | 1 Year on Handset and 6 Months on Accessories,3
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 128 GB)","₹22,999","₹24,999",8% off,4.4,"1,15,882 Ratings & 6,741 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 16.94 cm (6.67 inch) Display | 50MP + 13MP | 32MP Front Camera | 5500 mAh Battery | Dimensity 7400 Processor | 68W Charger | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,3
Jmax Super 1,₹599,₹999,40% off,3.8,"2,924 Ratings & 200 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 1100 mAh Battery | Domestic Warranty,3
"POCO M8 (Frost Silver, 128 GB)","₹17,999","₹21,999",18% off,4.3,"1,049 Ratings & 99 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.2 cm (6.77 inch) Full HD+ Display | 50MP Rear Camera | 20MP Front Camera | 5520 mAh Battery | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3
"POCO C75 5G (Aqua Bliss, 64 GB)","₹10,999",,,4.2,"1,48,975 Ratings & 6,745 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5160 mAh Battery | 4s Gen 2 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3
HOTLINE CLASSIC ULTRA,₹474,₹999,52% off,3.4,"1,508 Ratings & 64 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) NA Display | 1.3MP + 0MP | 0MP Front Camera | 1100 mAh Battery | NA Processor | 3 Months Domestic warranty,3
"POCO C75 5G (Enchanted Green, 128 GB)","₹11,499",,,4.2,"1,48,975 Ratings & 6,745 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.48 cm (6.88 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5160 mAh Battery | 4s Gen 2 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹12,499",,,4.2,"1,33,905 Ratings & 8,228 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.07 cm (6.72 inch) Full HD+ Display | 50MP + 8MP | 16MP Front Camera | 5000 mAh Battery | T760 Processor | 12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology | 1 Year on Handset and 6 Months on Accessories,3
Snexian ROCK X,"₹1,799","₹2,999",40% off,3.7,"2,973 Ratings & 134 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) Quarter QVGA Display | 0.3MP Rear Camera | 3000 mAh Battery | 3 Months Domestic Warranty,3
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,395","₹1,399",,4,"80,255 Ratings & 4,876 Reviews",32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) QVGA Display | 0MP Front Camera | 800 mAh Lithium Ion Battery | SC6531E Processor | 1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,3
"Samsung M06 5G (Sage Green, 128 GB)","₹12,288","₹15,499",20% off,4.1,"1,550 Ratings & 94 Reviews",4 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 5000 mAh Battery | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3
"Samsung Galaxy F07 (Green, 64 GB)","₹10,399","₹11,999",13% off,4.3,"5,720 Ratings & 340 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB | 17.02 cm (6.7 inch) HD+ Display | 50MP + 2MP | 8MP Front Camera | 5000 mAh Battery | Helio G99 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,3
"MOTOROLA g67 power 5G (Pantone Parachute, 128 GB)","₹18,999",,,4.3,"15,911 Ratings & 997 Reviews",8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Full HD+ Display | 50MP + 8MP | 32MP Front Camera | 7000 mAh Battery | 7s Gen 2 Processor | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,3
"IQOO Z10R 5G (Moonstone, 128 GB)","₹22,682","₹23,499",3% off,4.4,"5,070 Ratings & 293 Reviews",8 GB RAM | 128 GB ROM | 17.2 cm (6.77 inch) Display | 50MP Rear Camera | 5700 mAh Battery | 1 Year Warranty,3
LAVA A1 Josh,"₹1,049","₹1,399",25% off,4.2,"23,027 Ratings & 2,139 Reviews",4 MB RAM | 2 MB ROM | Expandable Upto 32 GB | 5.08 cm (2 inch) HVGA Display | 0MP | 0MP Front Camera | 1000 mAh Battery | Mtk Processor | 1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,3
Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments,"₹1,349","₹1,599",15% off,3.7,"1,09,635 Ratings & 6,880 Reviews",32 MB RAM | 32 MB ROM | 4.5 cm (1.77 inch) Display | 0MP | 0MP Front Camera | 1000 mAh Battery | SC6531E Processor | 1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,3
Snexian ROCK X,"₹1,749","₹2,999",41% off,3.7,"2,973 Ratings & 134 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) Quarter QVGA Display | 0.3MP Rear Camera | 3000 mAh Battery | 3 Months Domestic Warranty,3
HOTLINE CLASSIC ULTRA,₹499,₹999,50% off,3.4,"1,508 Ratings & 64 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) NA Display | 1.3MP + 0MP | 0MP Front Camera | 1100 mAh Battery | NA Processor | 3 Months Domestic warranty,3
"REDMI A4 (Starry Black, 128 GB)","₹14,959","₹15,999",6% off,4.2,"2,706 Ratings & 95 Reviews",6 GB RAM | 128 GB ROM | 17.48 cm (6.88 inch) Display | 50MP + 50MP | 5MP Dual Front Camera | 5160 mAh Battery | Snapdragon 4s Gen 2 5G Processor Processor | 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4
Kechaoda K115,₹999,"₹1,499",33% off,4.1,"44,068 Ratings & 2,724 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 3.66 cm (1.44 inch) QVGA Display | 0.3MP + 0MP | 0MP Front Camera | 850 mAh Battery | NA Processor | 3 Months Company Warranty,4
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹15,499","₹15,999",3% off,4,"2,609 Ratings & 204 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 50MP Rear Camera | 7000 mAh Battery | Snapdragon 6s Gen 3 5G Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4
LAVA A3 King,"₹1,231","₹1,549",20% off,4.2,"30,700 Ratings & 2,910 Reviews",4 MB RAM | 4 MB ROM | 4.5 cm (1.77 inch) Display | 0.2MP Rear Camera | 1750 mAh Battery | 1 year warranty from service centre,4
"realme P4 Power 5G (TransSilver, 128 GB)","₹27,999","₹32,999",15% off,4.5,"3,759 Ratings & 340 Reviews",8 GB RAM | 128 GB ROM | 17.27 cm (6.8 inch) Full HD+ AMOLED Display | 50MP + 8MP | Yes | 10001 mAh Battery | Dimensity 7400 Ultra Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4
"Nokia 130 Music Dual Sim with Music Player, Dedicated Music Buttons","₹1,959","₹2,199",10% off,3.9,"25,341 Ratings & 1,394 Reviews",4 MB RAM | 4 MB ROM | 6.1 cm (2.4 inch) Display | 0MP Front Camera | 1450 mAh Battery | 6261D Processor | NO WARRANTY,4
"IQOO Z10 5G (Glacier Silver / Silver, 256 GB)","₹27,261","₹27,999",2% off,4.4,"6,592 Ratings & 333 Reviews",8 GB RAM | 256 GB ROM | 17.2 cm (6.77 inch) Display | 50MP Rear Camera | 7300 mAh Battery | 1 Year,4
"realme P4 Lite (Sea Blue, 128 GB)","₹12,999","₹13,999",7% off,4.2,"1,759 Ratings & 79 Reviews",4 GB RAM | 128 GB ROM | 17.14 cm (6.75 inch) HD+ Display | 13MP Rear Camera | 5MP Front Camera | 6300 mAh Battery | T7250 Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4
"IQOO Z10 5G (Stellar Black / Black, 128 GB)","₹24,459","₹25,999",5% off,4.4,"6,592 Ratings & 333 Reviews",8 GB RAM | 128 GB ROM | 17.02 cm (6.7 inch) Display | 50MP Rear Camera | 7300 mAh Battery | 1 Year Warranty on Handset and 6 Months Warranty on Accessories,4
Kechaoda 888,"₹1,799","₹1,999",10% off,4.3,614 Ratings & 41 Reviews,64 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 3000 mAh Battery | 3 Months Company Warranty,4
Snexian ROCK X,"₹1,799","₹2,999",40% off,3.7,"2,973 Ratings & 134 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB | 4.57 cm (1.8 inch) Quarter QVGA Display | 0.3MP Rear Camera | 3000 mAh Battery | 3 Months Domestic Warranty,4
