Product Name,Price,Original Price,Discount,Rating,Reviews,Features,Page Number
Kechaoda K115,₹997,"₹1,499",33% off,4.1,"44,068 Ratings & 2,724 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB | 3.66 cm (1.44 inch) QVGA Display | 0.3MP + 0MP | 0MP Front Camera | 850 mAh Battery | NA Processor | 3 Months Company Warranty,11
MOTOROLA A10V DS Keypad Phone with Voice Feature|800 mAh Battery|Wireless FM Recording,"₹1,339","₹1,549",13% off,4,"10,720 Ratings & 684 Reviews",4 MB RAM | 32 MB ROM | Expandable Upto 64 GB | 4.57 cm (1.8 inch) Display | 800 mAh Battery | 2 Years Domestic Replacement Warranty,11
"Apple iPhone 16 (Black, 128 GB)","₹62,900","₹69,900",10% off,4.6,"1,92,398 Ratings & 6,752 Reviews","128 GB ROM | 15.49 cm (6.1 inch) Super Retina XDR Display | 48MP + 12MP | 12MP Front Camera | A18 Chip, 6 Core Processor Processor | 1 year warranty for phone and 1 year warranty for in Box Accessories.",11
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","₹49,999","₹74,999",33% off,4.6,"57,084 Ratings & 3,711 Reviews",8 GB RAM | 128 GB ROM | 15.75 cm (6.2 inch) Full HD+ Display | 50MP + 12MP | 12MP Front Camera | 4000 mAh Battery | 8 Gen 3 Processor | 1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,11
"Samsung Galaxy M17e (Blitz Blue, 128 GB)","₹15,400","₹18,999",18% off,4.1,51 Ratings & 0 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 128 GB | 17.02 cm (6.7 inch) Full HD+ Display | 50MP Rear Camera | 2MP Front Camera | 6000 mAh Battery | MediaTek Dimensity Processor | 1-year manufacturer warranty for the device and 6 months for in-box accessories.,11
"REDMI 15A (Amaze Purple, 128 GB)","₹14,499","₹17,999",19% off,4.1,126 Ratings & 12 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 32MP Rear Camera | 8MP Front Camera | 6300 mAh Lithium-Ion Polymer Battery | T8300 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,11
"Nokia 220 4G Dual SIM Keypad Phone, Built-in UPI App, USB Type C","₹3,689","₹4,499",18% off,4,"1,688 Ratings & 98 Reviews",64 MB RAM | 64 MB ROM | 7.11 cm (2.8 inch) Display | 1450 mAh Battery | 1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,11
Jio PRIMA2 4G,"₹3,390","₹4,199",19% off,3.9,"2,239 Ratings & 122 Reviews",500 MB RAM | 4 GB ROM | Expandable Upto 128 GB | 6.1 cm (2.4 inch) QVGA Display | 0.3MP Rear Camera | 1800 mAh Battery | 1 Year MANUFACTURER WARRANTY,11
"Ai+ Pulse 1 (Purple, 128 GB)","₹9,999",,,4,"8,675 Ratings & 531 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB | 17.13 cm (6.745 inch) HD+ Display | 50MP Rear Camera | 5MP Front Camera | 5000 mAh Battery | T615 Processor | 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,11
"IQOO Z10 5G (Glacier Silver / Silver, 256 GB)","₹27,261","₹27,999",2% off,4.4,"6,592 Ratings & 333 Reviews",8 GB RAM | 256 GB ROM | 17.2 cm (6.77 inch) Display | 50MP Rear Camera | 7300 mAh Battery | 1 Year,11
"hmd 105 Dual Sim Keypad Phone with Built-in UPI App, Wireless FM Radio","₹1,059","₹1,499",29% off,3.8,"5,174 Ratings & 375 Reviews",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB | 5.08 cm (2 inch) Display | 1000 mAh Battery | SC6531E Processor | 1 Year Replacement.,11
Kechaoda A26_rose gold,₹899,"₹1,499",40% off,3.9,704 Ratings & 19 Reviews,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB | 1.68 cm (0.66 inch) NA Display | 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 3 Months Company Warranty,11
"Tecno Pova Slim 5G (Cool Black, 128 GB)","₹20,658","₹24,999",17% off,4.3,"1,159 Ratings & 83 Reviews",8 GB RAM | 128 GB ROM | 17.22 cm (6.78 inch) Display | 50MP + 2MP | 13MP Front Camera | 5160 mAh Battery | Dimensity 6400 5G Processor | 1 Year Manufacturer Warranty for Phone,11
"REDMI 15A (Amaze Purple, 128 GB)","₹14,499","₹17,999",19% off,4.1,126 Ratings & 12 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB | 17.53 cm (6.9 inch) Display | 32MP Rear Camera | 8MP Front Camera | 6300 mAh Lithium-Ion Polymer Battery | T8300 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,12
LAVA Gem 2025,"₹1,797","₹2,099",14% off,4.1,"4,672 Ratings & 297 Reviews",4 MB RAM | 32 GB ROM | Expandable Upto 32 GB | 7.11 cm (2.8 inch) HVGA Display | 0.3MP + 0MP | 0MP Front Camera | 2575 mAh Battery | Mtk Processor | Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,12
"vivo T5x 5G (Cyber Green, 128 GB)","₹22,999","₹28,999",20% off,4.4,"5,072 Ratings & 344 Reviews",6 GB RAM | 128 GB ROM | 17.17 cm (6.76 inch) Display | 50MP + 2MP | 32MP Front Camera | 7200 mAh Li-ion Battery | Dimensity 7400-Turbo Processor | 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,12
"REDMI Note 15 SE 5G (Carbon Black, 256 GB)","₹23,999","₹27,999",14% off,4.3,463 Ratings & 57 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB | 17.2 cm (6.77 inch) Full HD+ AMOLED Display | 50MP Rear Camera | 20MP Front Camera | 5800 mAh Lithium-Ion Polymer Battery | Snapdragon 6 Gen 3 Processor | 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,12
Kechaoda K33,₹998,"₹2,200",54% off,4,"11,218 Ratings & 620 Reviews",32 MB RAM | 32 GB ROM | Expandable Upto 32 MB | 3.66 cm (1.44 inch) NA Display | 0.3MP + 0MP | 0MP Front Camera | 800 mAh Battery | NA Processor | 1 Year Manufacturer Warranty,12
Jmax Super 2,₹599,₹999,40% off,3.9,"2,385 Ratings & 186 Reviews",32 MB RAM | 32 MB ROM | 4.57 cm (1.8 inch) Display | 0.3MP Rear Camera | 1100 mAh Battery | 1 Year Domestic Warranty 7698174900,12
